Barren,Forest,Shrub,Grass,wetland,BarrenStd,ForestStd,ShrubStd,GrassStd,wetlandStd,,,,,,,,
0.015231019,0.648581379,0.070629208,0.070127699,0.195430694,0.061346209,0.447336598,0.124608168,0.165365345,0.20134368,,,,,,,,
0.003175893,0.809360267,0.057116831,0.079963563,0.050383446,0.011945317,0.520533458,0.181420673,0.172160558,0.113939995,,,,,,,,
0.00912837,0.671729771,0.050741911,0.158868747,0.109531201,0.034298998,0.436844956,0.143144346,0.24419707,0.14151463,,,,,,,,
0.004859054,0.594990071,0.099799203,0.213887132,0.086464539,0.01607334,0.411470593,0.206620833,0.276432208,0.089403025,,,,,,,,
0.00292846,0.629634173,0.0547208,0.215356781,0.097359787,0.008154762,0.473982576,0.116891307,0.284608023,0.116363332,,,,,,,,
0.000955844,0.379324675,0.097475325,0.443012987,0.079231169,0.002199811,0.405662609,0.216424379,0.290686717,0.085026484,,,,,,,,
0.004503951,0.48896532,0.104286943,0.372763379,0.029480408,0.016869387,0.467199272,0.124158461,0.361688333,0.030084546,,,,,,,,
0.002657647,0.439961343,0.16308287,0.367914955,0.026383184,0.003904458,0.354695366,0.225698645,0.374709469,0.040992062,,,,,,,,
0.002917514,0.227212448,0.12165149,0.58624348,0.061975069,0.004635294,0.325724894,0.198312867,0.398434826,0.072892119,,,,,,,,
0.006889078,0.327966561,0.172459169,0.469850608,0.022834585,0.020693131,0.397797487,0.204293151,0.343948073,0.033268158,,,,,,,,
0.001767999,0.25429722,0.285335429,0.429034476,0.029564876,0.00257897,0.290829321,0.299412851,0.375262825,0.031916033,,,,,,,,
0.00179833,0.180924855,0.21522158,0.544444444,0.05761079,0.003880147,0.291666638,0.296494516,0.351759395,0.056199304,,,,,,,,
0.0222891,0.235305182,0.383146807,0.329681181,0.02957773,0.060025856,0.269294623,0.306812944,0.333113591,0.030752986,,,,,,,,
0.006476342,0.270684642,0.222706846,0.48295004,0.017182131,0.011286322,0.407501984,0.151443359,0.409245659,0.020522675,,,,,,,,
0.052994268,0.367178924,0.401146481,0.16093426,0.017746067,0.134427348,0.363855433,0.29684003,0.186843991,0.018033198,,,,,,,,
0.017328152,0.382238644,0.479582086,0.102248837,0.018602281,0.058738767,0.368217987,0.421450496,0.131314477,0.020278273,,,,,,,,
0.093614019,0.318593438,0.432435611,0.143949194,0.011407738,0.171418406,0.256923211,0.333263475,0.21780667,0.020588237,,,,,,,,
0.021057868,0.480185707,0.375227989,0.113082408,0.010446029,0.024016746,0.384038634,0.340831834,0.241259438,0.009853348,,,,,,,,Mo
0.009257169,0.431474373,0.316888688,0.229848724,0.012531045,0.011383542,0.317893844,0.243403956,0.409382426,0.017936232,,,,,,,,
0.026889982,0.572526122,0.186001844,0.206284573,0.00829748,0.056373832,0.372848421,0.233379954,0.317141355,0.020256438,,,,,,,,
0.024459359,0.474123788,0.29142431,0.205219985,0.004772558,0.037068006,0.388957516,0.273377598,0.293787314,0.006809566,,,,,,,,
0.030029499,0.424719764,0.394926254,0.139233038,0.011091445,0.105615949,0.353738552,0.346044352,0.173546073,0.021055074,,,,,,,,
0.019849292,0.511854439,0.376585187,0.087759603,0.00395148,0.040448745,0.445049242,0.328681912,0.175599008,0.010221093,,,,,,,,
0.073238267,0.495777378,0.394572892,0.032396511,0.004014952,0.279857597,0.331438168,0.334602553,0.043737192,0.01036449,,,,,,,,
0.044186889,0.584932995,0.303332126,0.061934082,0.005613908,0.139715299,0.425028635,0.320183481,0.106516486,0.008556099,,,,,,,,
0.011764706,0.515089514,0.236317136,0.231713555,0.00511509,0.018181818,0.502392344,0.442105263,0.027751196,0.009569378,,,,,,,,
0.013278856,0.520939734,0.125638407,0.339121553,0.00102145,0.127189758,0.347640094,0.276578608,0.21143394,0.0371576,,,,,,,,
0.138805069,0.714544357,0.025347013,0.114665057,0.006638503,0.459958932,0.078028747,0.0862423,0.353182752,0.022587269,,,,,,,,
0.065050756,0.541537187,0.263724881,0.104619847,0.02506733,0.145789944,0.333298,0.346766125,0.153669236,0.020476696,,,,,,,,
0.109293194,0.40039267,0.167277487,0.296073298,0.026963351,0.160456604,0.287782825,0.312759391,0.201067923,0.037933257,,,,,,,,
0.192120313,0.471722093,0.041728447,0.263715315,0.030713832,0.251180597,0.391393776,0.099068275,0.235824001,0.022533352,,,,,,,,
0.102342342,0.303423423,0.095495495,0.477837838,0.020900901,0.102016049,0.406431647,0.156676216,0.302342263,0.032533826,,,,,,,,
0.356965615,0.26338178,0.113434952,0.252747253,0.013470401,0.372643902,0.185992806,0.14113081,0.266871874,0.033360609,,,,,,,,
0.226434426,0.491803279,0,0.281762295,0,0.324457594,0.462524655,0.16765286,0.042406312,0.00295858,,,,,,,,
0.569358178,0.011387164,0.175983437,0.240165631,0.00310559,0.236560365,0.581113832,0.158562029,0.021484952,0.002278823,,,,,,,,
0.65,0.2,0.1,0.05,0,0.401730965,0.236489367,0.33834405,0.019334212,0.004101406,,,,,,,,
0.75,0.05,0.05,0.15,0,0.398790086,0.163309225,0.413156646,0.020413653,0.00433039,,,,,,,,
0.85,0,0.02,0.13,0,0.393530407,0.086052022,0.494340968,0.021513005,0.004563598,,,,,,,,
0.95,0,0,0.05,0,0.370809412,0.043496986,0.559331557,0.021748493,0.004613552,,,,,,,,
1,0,0,0,0,0.340106816,0.021516072,0.612296791,0.021516072,0.004564248,,,,,,,,
