Region,Elevation ,Eofbase,DOC
Uintas,3413.76,1313.76,1.42070029
Uintas,3279.648,1179.648,0.335665125
Uintas,3304.032,1204.032,2.968332769
Uintas,3375.66,1275.66,1.02
Uintas,3392.424,1292.424,0.91
Uintas,3416.1984,1316.1984,1.63
Uintas,3473.196,1373.196,1.24
Uintas,3551.5296,1451.5296,0.97
Uintas,3559.7592,1459.7592,0.82
Uintas,3457.6512,1357.6512,1.43
Uintas,3445.764,1345.764,2.41
Uintas,3395.472,1295.472,1.53
Uintas,3422.904,1322.904,1.14
Uintas,3392,1292,1.66
Uintas,3419,1319,2.56
Uintas,3456,1356,1.87
Uintas,3197.352,1097.352,2.518898793
Uintas,3207,1107,1.35
Uintas,3238.5,1138.5,0.41
Uintas,3187.9032,1087.9032,0.99
Uintas,3296.7168,1196.7168,0.91
Uintas,3398.52,1298.52,2.105193877
Uintas,3020.568,920.568,4.331678514
Uintas,3048,948,3.587009666
Uintas,3133.344,1033.344,6.390800707
Uintas,3086.7096,986.7096,6.441573583
Uintas,2974.848,874.848,4.869494904
Uintas,3157.728,1057.728,8.354018579
Uintas,3230.88,1130.88,7.769190267
Uintas,2989.7832,889.7832,8.38974764
Uintas,2937.6624,837.6624,15.87780661
Uintas,2718.816,618.816,15.09928918
Uintas,2987.04,887.04,5.758960472
Uintas,2987.04,887.04,6.522434089
Uintas,2950.464,850.464,6.554402196
Uintas,2849.88,749.88,6.535597428
Uintas,2840.736,740.736,10.55793749
Uintas,2778.252,678.252,11.67117981
Uintas,2716.6824,616.6824,12.35943435
Uintas,2737.104,637.104,22.39
Uintas,3175,1075,2.69
Uintas,2848.6608,748.6608,5.78
Uintas,3032.76,932.76,4.78
Uintas,3034.284,934.284,3.6
Uintas,2960.2176,860.2176,4.37
Uintas,3354.324,1254.324,3.94
Uintas,3072.384,972.384,9.62
Uintas,3070.86,970.86,5.9
Uintas,3322.32,1222.32,7.81
Uintas,3163.824,1063.824,2.97
Uintas,3115.056,1015.056,6.12
Uintas,2827.3248,727.3248,10.57
Uintas,2811.4752,711.4752,30.33
Uintas,2813.304,713.304,14.1
Uintas,2804.16,704.16,15.8
Uintas,2848.0512,748.0512,15.55
Uintas,3200.4,1100.4,1.31
Uintas,3186.0744,1086.0744,1.99
Uintas,3017.52,917.52,15.21
Uintas,2950.464,850.464,12.72
Uintas,3239,1139,2.53
Uintas,3355.2384,1255.2384,1.93
Uintas,3342.4368,1242.4368,2.17
Uintas,2651.76,551.76,10.36800933
S. Rocky ,3449,1790,0.69
S. Rocky ,3425,1766,1.17
S. Rocky ,3425,1766,1.22
S. Rocky ,3550,1891,0.71
S. Rocky ,3550,1891,0.65
S. Rocky ,3478,1819,0.84
S. Rocky ,3512,1853,0.94
S. Rocky ,3463,1804,0.79
S. Rocky ,3322,1663,0.395
S. Rocky ,3307,1648,0.59
S. Rocky ,3163,1504,1.1
S. Rocky ,3261,1602,0.61
S. Rocky ,3345,1686,1.62
S. Rocky ,3340,1681,0.79
S. Rocky ,3301,1642,0.79
S. Rocky ,3301,1642,1.37
S. Rocky ,3253,1594,0.87
S. Rocky ,2987,1328,2.75
S. Rocky ,3226,1567,2.77
S. Rocky ,3048,1389,0.628
Alps and Pyrenees,1874,1874,0.384
Alps and Pyrenees,2417,2417,0.353
Alps and Pyrenees,2317,2317,0.564
Alps and Pyrenees,2344,2344,0.211
Alps and Pyrenees,2240,2240,0.802
Alps and Pyrenees,2485,2485,0.261
Alps and Pyrenees,2799,2799,0.287
Alps and Pyrenees,2360,2360,0.976
Alps and Pyrenees,2345,2345,0.656
Alps and Pyrenees,2320,2320,0.623
Alps and Pyrenees,2310,2310,0.973
Alps and Pyrenees,2258,2258,0.709
Alps and Pyrenees,2104,2104,1.306
Alps and Pyrenees,2125,2125,1.048
Alps and Pyrenees,2016,2016,0.75
Alps and Pyrenees,2231,2231,1.707
Alps and Pyrenees,929,929,3.496
Alps and Pyrenees,1640,1640,1.043
Alps and Pyrenees,1560,1560,0.427
Alps and Pyrenees,481,481,2.44
Alps and Pyrenees,1590,1590,0.42
Alps and Pyrenees,913,913,2.659
Alps and Pyrenees,1489,1489,1.021
Alps and Pyrenees,1905,1905,0.971
Alps and Pyrenees,422,422,2.138
N. Rocky ,2344,1544,0.8336985
N. Rocky ,1190,390,0.6685539
N. Rocky ,2003,1203,1.2190359
N. Rocky ,2298,1498,0.71
N. Rocky ,1505,705,0.815748
N. Rocky ,1620,820,0.6888978
N. Rocky ,1943,1143,0.8540424
N. Rocky ,1696,896,1.0646616
N. Rocky ,2216,1416,0.5740146
N. Rocky ,2026,1226,1.2776742
N. Rocky ,1976,1176,0.8289117
N. Rocky ,2019,1219,0.7511262
N. Rocky ,1594,794,1.0814154
N. Rocky ,2088,1288,1.49523565
N. Rocky ,2141,1341,0.9865879
N. Rocky ,2868,2068,1.3092331
N. Rocky ,2376,1576,0.9962191
N. Rocky ,2376,1576,1.1262403
N. Rocky ,2799,1999,2.7250195
N. Rocky ,2967,2167,0.383434
N. Rocky ,2104,1304,1.2971941
N. Rocky ,2107,1307,1.5488092
Yellowstone,2482.930992,702.930992,3.7736164
Yellowstone,2450.012192,670.012192,13.046022
Yellowstone,2435.381614,655.381614,7.4670066
Yellowstone,2614.30139,834.30139,2.1967398
Yellowstone,2527.432334,747.432334,33.952371
Yellowstone,2593.269934,813.269934,6.3313383
Yellowstone,2404.59644,624.59644,5.3823552
Yellowstone,2453.669837,673.669837,5.6049414
Yellowstone,2381.736162,601.736162,7.9337196
Yellowstone,2411.606925,631.606925,10.7225272
Yellowstone,2410.997318,630.997318,7.098423
Yellowstone,2698.732017,918.732017,6.2679132
Yellowstone,2502.743233,722.743233,11.3897892
Yellowstone,2564.008778,784.008778,4.2921615
Yellowstone,2438.124848,658.124848,5.4541572
Columbia ,2110,1310,0.48646589
Columbia ,2097,1297,1.000801209
Columbia ,2228,1428,0.244300556
Columbia ,2002,1202,0.929667018
Columbia ,2121,1321,0.224543121
Columbia ,2531,1731,0.495127816
Columbia ,2148,1348,0.566436983
Columbia ,2204,1404,0.490571325
Columbia ,2101,1301,1.222025932
Columbia ,2266,1466,0.795935197
Columbia ,2165,1365,0.656537451
Columbia ,2331,1531,0.653567576
Columbia ,2012,1212,0.853993147
Columbia ,2203,1403,0.813598318
Columbia ,2219,1419,0.512461604
Columbia ,2110,1310,0.705832717
Columbia ,2083,1283,0.942584661
Columbia ,2149,1349,0.803803183
Columbia ,2214,1414,0.629312393
Columbia ,2209,1409,0.502061462
Columbia ,2212,1412,0.712464139
Columbia ,2083,1283,0.698112354
Columbia ,1322,522,1.369472495
Columbia ,1049,249,1.193658535
Columbia ,1968,1168,0.61634242
Columbia ,1562,762,1.014767009
Columbia ,1978,1178,0.658220367
Columbia ,1957,1157,0.888188253
Columbia ,1980,1180,1.666522973
Columbia ,1983,1183,2.179939826
Columbia ,2009,1209,1.541228067
Columbia ,1873,1073,1.315159847
Wind River,3181.1976,1001.1976,1.61896
Wind River,3131.5152,951.5152,1.713386667
Wind River,3084.8808,904.8808,1.877753333
Wind River,3205.5816,1025.5816,2.09996
Wind River,3256.788,1076.788,1.58238
Wind River,3178.1496,998.1496,2.750253333
Wind River,3092.8056,912.8056,1.61698
Wind River,3056.5344,876.5344,1.07396
Wind River,2958.3888,778.3888,2.22625
Wind River,3244.9008,1064.9008,2.8509
Wind River,2998.9272,818.9272,3.4372
Wind River,3069.6408,889.6408,4.1515
Wind River,2976.372,796.372,4.35896
Wind River,3115.056,935.056,5.363586667
Wind River,2895.6,715.6,5.75502
Wind River,2875.788,695.788,7.518853333
Wind River,2840.1264,660.1264,3.3319
