Rock,VegCover,RockStd,ForestStd
0.015231019,0.984768981,0.034530366,0.24884264
0.003175893,0.996824107,0.006273492,0.261030183
0.00912837,0.99087163,0.02042169,0.281078276
0.004859054,0.995140946,0.012705413,0.317254562
0.00292846,0.99707154,0.005824845,0.283755108
0.000955844,0.999044156,0.001789872,0.245917226
0.004503951,0.995496049,0.013876203,0.291988207
0.002657647,0.997342353,0.004071302,0.301693341
0.002917514,0.997082486,0.003613699,0.266776606
0.006889078,0.993110922,0.018593794,0.208371103
0.001767999,0.998232001,0.002693426,0.077896668
0.00179833,0.99820167,0.003949239,0.212764606
0.0222891,0.9777109,0.054632719,0.290563183
0.006476342,0.993523658,0.008217529,0.175418626
0.052994268,0.947005732,0.1154424,0.304654332
0.017328152,0.982671848,0.050212449,0.318145863
0.093614019,0.906385981,0.192668901,0.324486007
0.021057868,0.978942132,0.02158331,0.292682666
0.009257169,0.990742831,0.00879141,0.198751212
0.026889982,0.973110018,0.049641148,0.053666348
0.024459359,0.975540641,0.037148351,0.059597309
0.030029499,0.969970501,0.074803118,0.113258756
0.019849292,0.980150708,0.027233001,0.077933344
0.073238267,0.926761733,0.195600662,0.183478298
0.044186889,0.955813111,0.097657906,0.125566981
0.011764706,0.988235294,0.013435029,0.031112698
0.013278856,0.986721144,0.041361972,0.213334006
0.138805069,0.861194931,0.158391919,0.072831998
0.065050756,0.934949244,0.135967643,0.133196471
0.109293194,0.890706806,0.123753138,0.112763897
0.192120313,0.807879687,0.219146754,0.20369757
0.102342342,0.897657658,0.099620948,0.066463022
0.356965615,0.643034385,0.245065978,0.245065978
0.226434426,0.773565574,0.232638131,0.232638131
0.569358178,0.430641822,0.220210285,0.220210285
0.65,0.35,0.207782438,0.207782438
0.75,0.25,0.195354592,0.195354592
0.85,0.15,0.182926745,0.182926745
0.95,0.05,0.170498899,0.170498899
1,0,0.158071052,0.158071052
