"","elev","pred.rich"
"1",400,7.02936642900658
"2",500,6.78052134712886
"3",600,6.53167626525114
"4",700,6.28283118337342
"5",800,6.0339861014957
"6",900,5.78514101961799
"7",1000,5.53629593774027
"8",1100,5.28745085586255
"9",1200,5.03860577398483
"10",1300,4.78976069210712
"11",1400,4.5409156102294
"12",1500,4.29207052835168
"13",1600,4.04322544647396
"14",1700,3.79438036459625
"15",1800,3.54553528271853
"16",1900,3.29669020084081
"17",2000,3.04784511896309
"18",2100,2.79900003708537
"19",2200,2.55015495520766
"20",2300,2.30130987332994
"21",2400,2.05246479145222
"22",2500,1.8036197095745
