lake.ID,lake.name,region,temperature,fish_PA,stocking,elevation,max_depth,area,richness,fish_PA_bin
53,Morice,BC WEST,5,Present,No Record,763,236.2,9753.74,7.666666667,1
56,Wheeler,BC NORTH,17.4,Present,No Record,691,31,253.14,5,1
58,Smart,BC NORTH,16.1,Present,No Record,801,6,140,4,1
59,Morley,BC NORTH,15.7,Present,No Record,760,34,1320,6,1
61,Palmer,BC NORTH,16.5,Present,No Record,696,13.7,85.1,3,1
62,Atlin,BC NORTH,9.9,Present,No Record,668,283.5,156784,4,1
63,Snafu,YUK SOUTH,14.2,Present,No Record,878,29,470,5,1
64,Little Atlin,YUK SOUTH,13.4,Present,No Record,686,14,3980,6,1
65,Lower Snafu,YUK SOUTH,12.725,Present,No Record,771,37,350,7.333333333,1
66,Tarfu,YUK SOUTH,15,Present,No Record,760,33,330,5,1
76,Morrison,BC NORTH,8.6,Present,No Record,730,,1380,2.6,1
86,Damdochax,BC NORTH,8.4,Present,No Record,580,,200,2,1
87,Fred Wright,BC NORTH,7,Present,No Record,575,41.148,397.11802,3.666666667,1
90,Christina,BC NORTH,10,Present,No Record,457,,240,4,1
91,Tahltan,BC NORTH,12.2,Present,No Record,825,,400,8,1
94,Kuthai,BC NORTH,13.8,Present,No Record,730,,240,2.5,1
101,R14 Pond,REVE,9,Present,Stocked,1966,9,2.7,1,1
102,R13 Pond,REVE,10.5,Present,Stocked,2036,12,3,2,1
107,Jade Lake (Lower),REVE,9.25,Present,Stocked,1762,23,4.8,3.333333333,1
108,Jade Lake (Upper),REVE,9,Present,Stocked,1814,14,8.7,2,1
111,Schuss Lake (AKA Fidelity),GLAC,8.5,Present,Stocked,1839,4,3.1,2.5,1
115,Millar Lake,REVE,10,Present,Stocked,1899,27,9.8,2,1
116,Eva Lake,REVE,11,Present,Stocked,1963,12,3.7,2.25,1
134,Kootenay Lake,BC EAST,17.375,Present,Stocked,532,155,41730.57,10,1
140,Daer Lake,KOOT,24.7,Present,Stocked,1187,1,9.4,10,1
141,K13 Pond,KOOT,17,Absent,Never,1295,6,2.5,4,0
142,K4 Pond,KOOT,22.75,Present,Stocked,1184,0.5,3.4,9,1
145,K20 Pond,KOOT,19,Absent,Never,1218,3.8,0.6,4.5,0
146,Cobb Lake,KOOT,17.5,Present,Stocked,1260,8,2.5,6.5,1
147,Kaufmann Lake,KOOT,8.75,Present,Stocked,2049,10,14.4,2,1
148,Larix Lake,MASS,13.1,Present,Stocked,2189,10,8,3.5,1
149,Olive Lake,KOOT,6.916666667,Present,Stocked,1631,3.5,2,3,1
150,Grizzly Lake,MASS,13.3,Present,Stocked,2170,3,3.6,3,1
152,Floe Lake,KOOT,9,Present,Stocked,2036,61,57.5,2.333333333,1
153,Dog Lake,KOOT,21.3,Present,Stocked,1184,4.7,15.1,8.75,1
154,Talc Lake,KOOT,4.5,Present,Stocked,2176,27,7.5,2,1
155,Rock Isle Lake,MASS,13.5,Present,Stocked,2251,12.5,4.9,3,1
156,Kootenay Pond,KOOT,19.2,Present,Stocked,1188,6,2.6,4.8,1
176,Nicola,BC INTERIOR,18.1,Present,Stocked,625,54.9,2490,6.5,1
190,Paul,BC INTERIOR,18.82,Present,Stocked,777,56,388,4.5,1
194,Pinantan,BC INTERIOR,18.65,Present,Stocked,863,18.9,65,6,1
206,Ottertail Lake,YOHO,21.5,Present,Stocked,1118,1.5,4,4,1
208,Schaffer Lake,YOHO,7.8,Present,Stocked,2170,2.5,0.4,2.6,1
209,Summit Lake,YOHO,9.95,Present,Stocked,1634,1.2,2,9,1
